Date_Time,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Lagging_Current_Power_Factor,WeekStatus,Day_Of_Week,Load_Type,Hour,Month,DayOfMonth
2018-01-01 00:15:00,3.17,2.95,73.21,Weekday,Monday,Light_Load,0,1,1
2018-01-01 00:30:00,4.0,4.46,66.77,Weekday,Monday,Light_Load,0,1,1
2018-01-01 00:45:00,3.24,3.28,70.28,Weekday,Monday,Light_Load,0,1,1
2018-01-01 01:00:00,3.31,3.56,68.09,Weekday,Monday,Light_Load,1,1,1
2018-01-01 01:15:00,3.82,4.5,64.72,Weekday,Monday,Light_Load,1,1,1
2018-01-01 01:30:00,3.28,3.56,67.76,Weekday,Monday,Light_Load,1,1,1
2018-01-01 01:45:00,3.6,4.14,65.62,Weekday,Monday,Light_Load,1,1,1
2018-01-01 02:00:00,3.6,4.28,64.37,Weekday,Monday,Light_Load,2,1,1
2018-01-01 02:15:00,3.28,3.64,66.94,Weekday,Monday,Light_Load,2,1,1
2018-01-01 02:30:00,3.78,4.72,62.51,Weekday,Monday,Light_Load,2,1,1
2018-01-01 02:45:00,3.46,4.03,65.14,Weekday,Monday,Light_Load,2,1,1
2018-01-01 03:00:00,3.24,3.64,66.49,Weekday,Monday,Light_Load,3,1,1
2018-01-01 03:15:00,3.96,4.97,62.32,Weekday,Monday,Light_Load,3,1,1
2018-01-01 03:30:00,3.31,3.74,66.27,Weekday,Monday,Light_Load,3,1,1
2018-01-01 03:45:00,3.31,3.85,65.19,Weekday,Monday,Light_Load,3,1,1
2018-01-01 04:00:00,3.89,5.0,61.4,Weekday,Monday,Light_Load,4,1,1
2018-01-01 04:15:00,3.28,3.82,65.14,Weekday,Monday,Light_Load,4,1,1
2018-01-01 04:30:00,3.56,4.28,63.95,Weekday,Monday,Light_Load,4,1,1
2018-01-01 04:45:00,3.74,4.54,63.58,Weekday,Monday,Light_Load,4,1,1
2018-01-01 05:00:00,3.31,3.6,67.68,Weekday,Monday,Light_Load,5,1,1
2018-01-01 05:15:00,3.56,4.07,65.84,Weekday,Monday,Light_Load,5,1,1
2018-01-01 05:30:00,3.56,4.1,65.56,Weekday,Monday,Light_Load,5,1,1
2018-01-01 05:45:00,3.28,3.49,68.48,Weekday,Monday,Light_Load,5,1,1
2018-01-01 06:00:00,3.78,4.32,65.85,Weekday,Monday,Light_Load,6,1,1
2018-01-01 06:15:00,3.35,3.64,67.72,Weekday,Monday,Light_Load,6,1,1
2018-01-01 06:30:00,3.24,3.35,69.52,Weekday,Monday,Light_Load,6,1,1
2018-01-01 06:45:00,3.89,4.46,65.73,Weekday,Monday,Light_Load,6,1,1
2018-01-01 07:00:00,3.31,3.53,68.4,Weekday,Monday,Light_Load,7,1,1
2018-01-01 07:15:00,3.28,3.49,68.48,Weekday,Monday,Light_Load,7,1,1
2018-01-01 07:30:00,3.85,4.75,62.97,Weekday,Monday,Light_Load,7,1,1
2018-01-01 07:45:00,3.2,3.6,66.44,Weekday,Monday,Light_Load,7,1,1
2018-01-01 08:00:00,3.31,3.78,65.88,Weekday,Monday,Light_Load,8,1,1
2018-01-01 08:15:00,3.78,4.75,62.27,Weekday,Monday,Light_Load,8,1,1
2018-01-01 08:30:00,3.28,3.74,65.94,Weekday,Monday,Light_Load,8,1,1
2018-01-01 08:45:00,3.49,4.46,61.63,Weekday,Monday,Light_Load,8,1,1
2018-01-01 09:00:00,3.89,0.0,100.0,Weekday,Monday,Light_Load,9,1,1
2018-01-01 09:15:00,3.6,0.0,100.0,Weekday,Monday,Light_Load,9,1,1
2018-01-01 09:30:00,4.03,0.0,100.0,Weekday,Monday,Light_Load,9,1,1
2018-01-01 09:45:00,3.92,0.0,100.0,Weekday,Monday,Light_Load,9,1,1
2018-01-01 10:00:00,3.64,0.0,100.0,Weekday,Monday,Light_Load,10,1,1
2018-01-01 10:15:00,4.07,0.0,100.0,Weekday,Monday,Light_Load,10,1,1
2018-01-01 10:30:00,3.71,0.0,100.0,Weekday,Monday,Light_Load,10,1,1
2018-01-01 10:45:00,3.6,0.0,100.0,Weekday,Monday,Light_Load,10,1,1
2018-01-01 11:00:00,4.21,0.0,100.0,Weekday,Monday,Light_Load,11,1,1
2018-01-01 11:15:00,3.49,0.0,100.0,Weekday,Monday,Light_Load,11,1,1
2018-01-01 11:30:00,3.46,0.0,100.0,Weekday,Monday,Light_Load,11,1,1
2018-01-01 11:45:00,4.0,0.0,100.0,Weekday,Monday,Light_Load,11,1,1
2018-01-01 12:00:00,3.49,0.0,100.0,Weekday,Monday,Light_Load,12,1,1
2018-01-01 12:15:00,3.6,0.0,100.0,Weekday,Monday,Light_Load,12,1,1
2018-01-01 12:30:00,4.25,0.0,100.0,Weekday,Monday,Light_Load,12,1,1
2018-01-01 12:45:00,3.67,0.0,100.0,Weekday,Monday,Light_Load,12,1,1
2018-01-01 13:00:00,3.67,0.0,100.0,Weekday,Monday,Light_Load,13,1,1
2018-01-01 13:15:00,4.25,0.0,100.0,Weekday,Monday,Light_Load,13,1,1
2018-01-01 13:30:00,3.64,0.0,100.0,Weekday,Monday,Light_Load,13,1,1
2018-01-01 13:45:00,3.67,0.0,100.0,Weekday,Monday,Light_Load,13,1,1
2018-01-01 14:00:00,4.28,0.0,100.0,Weekday,Monday,Light_Load,14,1,1
2018-01-01 14:15:00,3.64,0.0,100.0,Weekday,Monday,Light_Load,14,1,1
2018-01-01 14:30:00,3.78,0.0,100.0,Weekday,Monday,Light_Load,14,1,1
2018-01-01 14:45:00,4.1,0.0,100.0,Weekday,Monday,Light_Load,14,1,1
